tanggal,id_karyawan,nama_karyawan,jam_masuk,jam_jadwal,terlambat,cuaca,hari
2024-05-28,18,Karyawan_18,08:54,08:00,1,Hujan,Tuesday
2024-08-05,3,Karyawan_3,08:56,08:00,1,Cerah,Monday
2024-12-14,12,Karyawan_12,08:19,08:00,1,Hujan,Saturday
2024-09-06,9,Karyawan_9,08:20,08:00,1,Berawan,Friday
2024-06-09,4,Karyawan_4,07:55,08:00,0,Berawan,Sunday
2024-11-24,5,Karyawan_5,08:24,08:00,1,Berawan,Sunday
2024-01-20,1,Karyawan_1,08:35,08:00,1,Berawan,Saturday
2024-06-22,4,Karyawan_4,08:29,08:00,1,Berawan,Saturday
2024-05-06,5,Karyawan_5,08:43,08:00,1,Cerah,Monday
2024-05-10,8,Karyawan_8,07:56,08:00,0,Berawan,Friday
2024-10-07,8,Karyawan_8,08:56,08:00,1,Hujan,Monday
2024-06-18,13,Karyawan_13,08:04,08:00,0,Cerah,Tuesday
2024-08-14,6,Karyawan_6,08:22,08:00,1,Cerah,Wednesday
2024-02-08,8,Karyawan_8,08:22,08:00,1,Berawan,Thursday
2024-03-31,2,Karyawan_2,08:25,08:00,1,Hujan,Sunday
2024-10-22,19,Karyawan_19,08:03,08:00,0,Berawan,Tuesday
2024-08-14,12,Karyawan_12,08:02,08:00,0,Cerah,Wednesday
2024-01-05,13,Karyawan_13,08:53,08:00,1,Hujan,Friday
2024-10-29,13,Karyawan_13,08:51,08:00,1,Cerah,Tuesday
2024-01-07,11,Karyawan_11,08:46,08:00,1,Hujan,Sunday
2024-02-20,5,Karyawan_5,08:36,08:00,1,Cerah,Tuesday
2024-06-19,2,Karyawan_2,08:24,08:00,1,Berawan,Wednesday
2024-02-23,3,Karyawan_3,08:51,08:00,1,Hujan,Friday
2024-08-11,14,Karyawan_14,08:43,08:00,1,Hujan,Sunday
2024-02-16,19,Karyawan_19,08:51,08:00,1,Berawan,Friday
2024-05-06,18,Karyawan_18,08:07,08:00,1,Cerah,Monday
2024-05-02,8,Karyawan_8,08:05,08:00,0,Berawan,Thursday
2024-01-29,3,Karyawan_3,08:07,08:00,1,Hujan,Monday
2024-01-16,3,Karyawan_3,08:37,08:00,1,Hujan,Tuesday
2024-04-18,5,Karyawan_5,08:13,08:00,1,Cerah,Thursday
2024-08-25,15,Karyawan_15,08:47,08:00,1,Hujan,Sunday
2024-03-21,12,Karyawan_12,08:00,08:00,0,Hujan,Thursday
2024-07-14,10,Karyawan_10,08:00,08:00,0,Hujan,Sunday
2024-04-06,3,Karyawan_3,08:27,08:00,1,Cerah,Saturday
2024-06-23,8,Karyawan_8,08:11,08:00,1,Berawan,Sunday
2024-08-28,18,Karyawan_18,08:03,08:00,0,Cerah,Wednesday
2024-10-16,17,Karyawan_17,08:13,08:00,1,Berawan,Wednesday
2024-09-19,13,Karyawan_13,08:07,08:00,1,Berawan,Thursday
2024-01-01,1,Karyawan_1,08:49,08:00,1,Hujan,Monday
2024-08-08,11,Karyawan_11,08:57,08:00,1,Berawan,Thursday
2024-10-12,11,Karyawan_11,08:18,08:00,1,Cerah,Saturday
2024-12-22,15,Karyawan_15,07:56,08:00,0,Cerah,Sunday
2024-05-02,6,Karyawan_6,08:41,08:00,1,Hujan,Thursday
2024-12-10,4,Karyawan_4,08:45,08:00,1,Cerah,Tuesday
2024-06-13,1,Karyawan_1,08:28,08:00,1,Hujan,Thursday
2024-04-05,19,Karyawan_19,08:41,08:00,1,Hujan,Friday
2024-04-21,18,Karyawan_18,08:18,08:00,1,Hujan,Sunday
2024-04-07,17,Karyawan_17,08:58,08:00,1,Hujan,Sunday
2024-01-05,5,Karyawan_5,08:43,08:00,1,Hujan,Friday
2024-06-08,20,Karyawan_20,08:58,08:00,1,Cerah,Saturday
2024-08-29,10,Karyawan_10,08:59,08:00,1,Berawan,Thursday
2024-04-12,14,Karyawan_14,07:52,08:00,0,Hujan,Friday
2024-02-06,7,Karyawan_7,08:23,08:00,1,Hujan,Tuesday
2024-06-02,5,Karyawan_5,07:58,08:00,0,Berawan,Sunday
2024-02-01,5,Karyawan_5,08:09,08:00,1,Berawan,Thursday
2024-05-05,19,Karyawan_19,08:12,08:00,1,Cerah,Sunday
2024-12-19,7,Karyawan_7,08:42,08:00,1,Hujan,Thursday
2024-03-29,18,Karyawan_18,08:05,08:00,0,Hujan,Friday
2024-02-05,16,Karyawan_16,08:24,08:00,1,Berawan,Monday
2024-02-24,19,Karyawan_19,08:50,08:00,1,Berawan,Saturday
2024-06-25,13,Karyawan_13,08:43,08:00,1,Hujan,Tuesday
2024-12-28,10,Karyawan_10,08:24,08:00,1,Hujan,Saturday
2024-02-04,1,Karyawan_1,08:50,08:00,1,Cerah,Sunday
2024-08-17,18,Karyawan_18,08:24,08:00,1,Cerah,Saturday
2024-07-05,15,Karyawan_15,08:51,08:00,1,Cerah,Friday
2024-06-15,10,Karyawan_10,08:57,08:00,1,Cerah,Saturday
2024-08-23,13,Karyawan_13,09:00,08:00,1,Hujan,Friday
2024-01-02,15,Karyawan_15,08:22,08:00,1,Berawan,Tuesday
2024-12-28,3,Karyawan_3,08:34,08:00,1,Berawan,Saturday
2024-03-04,9,Karyawan_9,08:17,08:00,1,Hujan,Monday
2024-08-13,14,Karyawan_14,08:05,08:00,0,Hujan,Tuesday
2024-12-22,2,Karyawan_2,08:11,08:00,1,Berawan,Sunday
2024-05-17,11,Karyawan_11,08:18,08:00,1,Berawan,Friday
2024-07-07,6,Karyawan_6,08:20,08:00,1,Cerah,Sunday
2024-02-01,5,Karyawan_5,07:56,08:00,0,Cerah,Thursday
2024-11-12,17,Karyawan_17,08:16,08:00,1,Berawan,Tuesday
2024-04-14,7,Karyawan_7,08:07,08:00,1,Hujan,Sunday
2024-04-21,4,Karyawan_4,08:32,08:00,1,Hujan,Sunday
2024-03-06,19,Karyawan_19,08:00,08:00,0,Hujan,Wednesday
2024-02-08,16,Karyawan_16,08:30,08:00,1,Hujan,Thursday
2024-09-25,2,Karyawan_2,08:17,08:00,1,Cerah,Wednesday
2024-02-29,9,Karyawan_9,07:58,08:00,0,Cerah,Thursday
2024-06-02,12,Karyawan_12,07:53,08:00,0,Hujan,Sunday
2024-08-25,15,Karyawan_15,07:54,08:00,0,Berawan,Sunday
2024-12-16,11,Karyawan_11,08:07,08:00,1,Berawan,Monday
2024-09-03,10,Karyawan_10,08:52,08:00,1,Hujan,Tuesday
2024-02-13,10,Karyawan_10,07:51,08:00,0,Hujan,Tuesday
2024-08-20,14,Karyawan_14,08:54,08:00,1,Hujan,Tuesday
2024-06-07,4,Karyawan_4,08:03,08:00,0,Cerah,Friday
2024-06-03,6,Karyawan_6,08:05,08:00,0,Cerah,Monday
2024-10-20,19,Karyawan_19,08:59,08:00,1,Cerah,Sunday
2024-08-22,14,Karyawan_14,09:00,08:00,1,Cerah,Thursday
2024-09-20,19,Karyawan_19,08:07,08:00,1,Berawan,Friday
2024-06-01,2,Karyawan_2,08:32,08:00,1,Hujan,Saturday
2024-09-19,1,Karyawan_1,08:57,08:00,1,Hujan,Thursday
2024-09-01,16,Karyawan_16,08:00,08:00,0,Cerah,Sunday
2024-11-23,12,Karyawan_12,08:36,08:00,1,Cerah,Saturday
2024-01-08,13,Karyawan_13,08:48,08:00,1,Hujan,Monday
2024-11-11,5,Karyawan_5,08:19,08:00,1,Cerah,Monday
2024-11-13,2,Karyawan_2,08:54,08:00,1,Berawan,Wednesday
2024-02-11,13,Karyawan_13,08:07,08:00,1,Cerah,Sunday
2024-12-12,14,Karyawan_14,08:50,08:00,1,Cerah,Thursday
2024-05-14,15,Karyawan_15,08:58,08:00,1,Berawan,Tuesday
2024-08-02,20,Karyawan_20,07:57,08:00,0,Berawan,Friday
2024-05-05,3,Karyawan_3,08:51,08:00,1,Berawan,Sunday
2024-06-30,17,Karyawan_17,08:15,08:00,1,Cerah,Sunday
2024-12-16,9,Karyawan_9,07:56,08:00,0,Hujan,Monday
2024-03-27,20,Karyawan_20,08:07,08:00,1,Berawan,Wednesday
2024-02-24,9,Karyawan_9,08:50,08:00,1,Cerah,Saturday
2024-01-07,13,Karyawan_13,08:12,08:00,1,Cerah,Sunday
2024-10-19,17,Karyawan_17,08:33,08:00,1,Hujan,Saturday
2024-05-01,16,Karyawan_16,08:00,08:00,0,Hujan,Wednesday
2024-01-30,4,Karyawan_4,08:14,08:00,1,Berawan,Tuesday
2024-08-31,13,Karyawan_13,08:07,08:00,1,Berawan,Saturday
2024-12-29,13,Karyawan_13,08:34,08:00,1,Cerah,Sunday
2024-11-05,15,Karyawan_15,08:41,08:00,1,Hujan,Tuesday
2024-02-16,17,Karyawan_17,08:48,08:00,1,Cerah,Friday
2024-04-06,16,Karyawan_16,07:59,08:00,0,Hujan,Saturday
2024-02-05,11,Karyawan_11,08:02,08:00,0,Cerah,Monday
2024-08-02,18,Karyawan_18,08:09,08:00,1,Berawan,Friday
2024-06-03,2,Karyawan_2,08:10,08:00,1,Berawan,Monday
2024-04-17,4,Karyawan_4,07:53,08:00,0,Hujan,Wednesday
2024-08-22,19,Karyawan_19,08:29,08:00,1,Hujan,Thursday
2024-05-10,4,Karyawan_4,08:05,08:00,0,Hujan,Friday
2024-02-17,3,Karyawan_3,07:57,08:00,0,Hujan,Saturday
2024-05-02,11,Karyawan_11,08:32,08:00,1,Cerah,Thursday
2024-05-20,12,Karyawan_12,08:08,08:00,1,Hujan,Monday
2024-08-13,16,Karyawan_16,07:55,08:00,0,Berawan,Tuesday
2024-07-14,17,Karyawan_17,07:55,08:00,0,Berawan,Sunday
2024-05-25,15,Karyawan_15,08:53,08:00,1,Hujan,Saturday
2024-12-27,1,Karyawan_1,08:20,08:00,1,Berawan,Friday
2024-02-13,16,Karyawan_16,08:47,08:00,1,Hujan,Tuesday
2024-07-23,11,Karyawan_11,07:59,08:00,0,Berawan,Tuesday
2024-12-28,3,Karyawan_3,08:59,08:00,1,Berawan,Saturday
2024-06-20,12,Karyawan_12,08:10,08:00,1,Hujan,Thursday
2024-09-25,7,Karyawan_7,08:20,08:00,1,Cerah,Wednesday
2024-11-17,13,Karyawan_13,07:55,08:00,0,Berawan,Sunday
2024-07-28,19,Karyawan_19,08:05,08:00,0,Cerah,Sunday
2024-11-15,8,Karyawan_8,08:28,08:00,1,Hujan,Friday
2024-10-07,3,Karyawan_3,08:20,08:00,1,Cerah,Monday
2024-01-11,16,Karyawan_16,07:57,08:00,0,Berawan,Thursday
2024-03-09,2,Karyawan_2,08:13,08:00,1,Hujan,Saturday
2024-04-24,17,Karyawan_17,08:05,08:00,0,Cerah,Wednesday
2024-12-05,12,Karyawan_12,07:55,08:00,0,Berawan,Thursday
2024-04-23,8,Karyawan_8,08:11,08:00,1,Cerah,Tuesday
2024-06-10,6,Karyawan_6,07:58,08:00,0,Hujan,Monday
2024-04-13,14,Karyawan_14,08:13,08:00,1,Hujan,Saturday
2024-07-25,19,Karyawan_19,08:04,08:00,0,Cerah,Thursday
2024-02-02,18,Karyawan_18,08:18,08:00,1,Cerah,Friday
2024-02-29,17,Karyawan_17,08:55,08:00,1,Berawan,Thursday
2024-07-02,20,Karyawan_20,07:59,08:00,0,Hujan,Tuesday
2024-04-07,12,Karyawan_12,08:54,08:00,1,Cerah,Sunday
2024-05-18,19,Karyawan_19,08:34,08:00,1,Hujan,Saturday
2024-10-20,15,Karyawan_15,07:50,08:00,0,Hujan,Sunday
2024-07-30,13,Karyawan_13,08:35,08:00,1,Hujan,Tuesday
2024-01-27,9,Karyawan_9,08:07,08:00,1,Berawan,Saturday
2024-02-25,3,Karyawan_3,08:25,08:00,1,Cerah,Sunday
2024-11-02,18,Karyawan_18,07:51,08:00,0,Berawan,Saturday
2024-12-08,4,Karyawan_4,08:37,08:00,1,Hujan,Sunday
2024-12-10,19,Karyawan_19,08:40,08:00,1,Hujan,Tuesday
2024-04-13,11,Karyawan_11,08:26,08:00,1,Cerah,Saturday
2024-02-11,14,Karyawan_14,08:13,08:00,1,Cerah,Sunday
2024-01-04,18,Karyawan_18,08:19,08:00,1,Hujan,Thursday
2024-12-25,2,Karyawan_2,08:21,08:00,1,Berawan,Wednesday
2024-04-27,16,Karyawan_16,08:10,08:00,1,Berawan,Saturday
2024-08-08,9,Karyawan_9,08:48,08:00,1,Cerah,Thursday
2024-09-03,9,Karyawan_9,08:13,08:00,1,Berawan,Tuesday
2024-05-10,14,Karyawan_14,07:52,08:00,0,Berawan,Friday
2024-12-26,10,Karyawan_10,08:24,08:00,1,Berawan,Thursday
2024-05-15,2,Karyawan_2,08:18,08:00,1,Hujan,Wednesday
2024-06-20,10,Karyawan_10,08:36,08:00,1,Berawan,Thursday
2024-06-10,9,Karyawan_9,08:09,08:00,1,Cerah,Monday
2024-10-15,4,Karyawan_4,08:09,08:00,1,Hujan,Tuesday
2024-06-10,4,Karyawan_4,08:58,08:00,1,Berawan,Monday
2024-07-01,18,Karyawan_18,08:13,08:00,1,Berawan,Monday
2024-01-04,13,Karyawan_13,08:20,08:00,1,Cerah,Thursday
2024-02-05,4,Karyawan_4,08:55,08:00,1,Hujan,Monday
2024-03-11,7,Karyawan_7,08:27,08:00,1,Cerah,Monday
2024-12-22,20,Karyawan_20,08:07,08:00,1,Berawan,Sunday
2024-01-27,5,Karyawan_5,08:13,08:00,1,Cerah,Saturday
2024-04-25,15,Karyawan_15,08:23,08:00,1,Hujan,Thursday
2024-04-30,3,Karyawan_3,08:34,08:00,1,Hujan,Tuesday
2024-04-23,19,Karyawan_19,08:39,08:00,1,Hujan,Tuesday
2024-06-09,10,Karyawan_10,08:10,08:00,1,Cerah,Sunday
2024-05-23,10,Karyawan_10,08:55,08:00,1,Cerah,Thursday
2024-05-24,10,Karyawan_10,08:06,08:00,1,Cerah,Friday
2024-08-16,1,Karyawan_1,08:14,08:00,1,Cerah,Friday
2024-08-30,4,Karyawan_4,08:28,08:00,1,Hujan,Friday
2024-12-20,12,Karyawan_12,08:45,08:00,1,Hujan,Friday
2024-10-30,17,Karyawan_17,08:26,08:00,1,Hujan,Wednesday
2024-09-04,7,Karyawan_7,08:47,08:00,1,Cerah,Wednesday
2024-01-13,9,Karyawan_9,07:52,08:00,0,Cerah,Saturday
2024-07-30,12,Karyawan_12,08:19,08:00,1,Cerah,Tuesday
2024-06-22,3,Karyawan_3,08:09,08:00,1,Berawan,Saturday
2024-06-19,10,Karyawan_10,08:21,08:00,1,Cerah,Wednesday
2024-11-07,18,Karyawan_18,08:34,08:00,1,Hujan,Thursday
2024-10-05,3,Karyawan_3,08:16,08:00,1,Cerah,Saturday
2024-03-10,3,Karyawan_3,08:22,08:00,1,Berawan,Sunday
2024-03-20,5,Karyawan_5,08:54,08:00,1,Hujan,Wednesday
2024-09-14,11,Karyawan_11,08:35,08:00,1,Hujan,Saturday
2024-02-26,12,Karyawan_12,08:22,08:00,1,Hujan,Monday
2024-11-29,19,Karyawan_19,08:48,08:00,1,Berawan,Friday
2024-08-28,12,Karyawan_12,07:51,08:00,0,Hujan,Wednesday
2024-04-30,16,Karyawan_16,08:30,08:00,1,Cerah,Tuesday
2024-11-04,12,Karyawan_12,08:19,08:00,1,Hujan,Monday
2024-05-30,10,Karyawan_10,08:11,08:00,1,Cerah,Thursday
2024-04-16,8,Karyawan_8,08:59,08:00,1,Cerah,Tuesday
2024-01-08,8,Karyawan_8,08:41,08:00,1,Berawan,Monday
2024-09-18,3,Karyawan_3,08:56,08:00,1,Cerah,Wednesday
2024-11-15,12,Karyawan_12,08:34,08:00,1,Berawan,Friday
2024-05-25,7,Karyawan_7,07:51,08:00,0,Hujan,Saturday
2024-09-21,20,Karyawan_20,07:58,08:00,0,Hujan,Saturday
2024-03-17,9,Karyawan_9,07:56,08:00,0,Cerah,Sunday
2024-05-17,13,Karyawan_13,08:04,08:00,0,Cerah,Friday
2024-10-26,7,Karyawan_7,08:57,08:00,1,Berawan,Saturday
2024-06-19,15,Karyawan_15,08:28,08:00,1,Hujan,Wednesday
2024-02-03,17,Karyawan_17,08:46,08:00,1,Hujan,Saturday
2024-06-10,19,Karyawan_19,07:59,08:00,0,Hujan,Monday
2024-11-16,5,Karyawan_5,08:58,08:00,1,Hujan,Saturday
2024-02-08,20,Karyawan_20,08:21,08:00,1,Hujan,Thursday
2024-09-08,17,Karyawan_17,08:38,08:00,1,Cerah,Sunday
2024-12-21,19,Karyawan_19,08:02,08:00,0,Cerah,Saturday
2024-12-05,8,Karyawan_8,08:24,08:00,1,Hujan,Thursday
2024-03-18,5,Karyawan_5,08:33,08:00,1,Berawan,Monday
2024-12-09,10,Karyawan_10,08:56,08:00,1,Cerah,Monday
2024-11-20,9,Karyawan_9,08:44,08:00,1,Cerah,Wednesday
2024-09-02,19,Karyawan_19,07:57,08:00,0,Hujan,Monday
2024-08-22,15,Karyawan_15,08:34,08:00,1,Cerah,Thursday
2024-07-03,18,Karyawan_18,08:41,08:00,1,Hujan,Wednesday
2024-12-11,3,Karyawan_3,08:42,08:00,1,Hujan,Wednesday
2024-03-15,13,Karyawan_13,08:48,08:00,1,Berawan,Friday
2024-04-06,9,Karyawan_9,08:55,08:00,1,Berawan,Saturday
2024-12-17,15,Karyawan_15,08:32,08:00,1,Cerah,Tuesday
2024-05-09,20,Karyawan_20,08:02,08:00,0,Cerah,Thursday
2024-12-19,5,Karyawan_5,08:36,08:00,1,Hujan,Thursday
